Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A novel GCL hybrid classification model for paddy diseases","International Journal of Information Technology","","15","2","10.1007/s41870-022-01094-6","Shweta LambaAnupam BaliyanVinay Kukreja","2023","http://link.springer.com/article/10.1007/s41870-022-01094-6","Article"
"A secure blockchain-assisted authentication framework for electronic health records","International Journal of Information Technology","","16","3","10.1007/s41870-023-01705-w","Vipin KumarRifaqat AliPawan Kumar Sharma","2024","http://link.springer.com/article/10.1007/s41870-023-01705-w","Article"
"Modified chaotic quadratic map with improved robust region","International Journal of Information Technology","","16","1","10.1007/s41870-023-01578-z","Talha UmarMohammad NadeemFaisal Anwer","2024","http://link.springer.com/article/10.1007/s41870-023-01578-z","Article"
"Enhancing graphical password authentication system with deep learning-based arabic digit recognition","International Journal of Information Technology","","16","3","10.1007/s41870-023-01561-8","Areeg Fahad RasheedM. ZarkooshF. R. Elia","2024","http://link.springer.com/article/10.1007/s41870-023-01561-8","Article"
"Designing blockchain based secure autonomous vehicular internet of things (IoT) architecture with efficient smart contracts","International Journal of Information Technology","","","","10.1007/s41870-023-01712-x","HemaniDayashankar SinghRajendra Kumar Dwivedi","2024","http://link.springer.com/article/10.1007/s41870-023-01712-x","Article"
"Generalized hurdle count data models based on interpretable machine learning with an application to health care demand","Computing","","106","2","10.1007/s00607-023-01224-3","Xin XuTao YeJieying GaoDongxiao Chu","2024","http://link.springer.com/article/10.1007/s00607-023-01224-3","Article"
"Foretelling the compressive strength of concrete using twin support vector regression","International Journal of Information Technology","","","","10.1007/s41870-024-01913-y","Deepak GuptaSaurabh DubeyMainak Mallik","2024","http://link.springer.com/article/10.1007/s41870-024-01913-y","Article"
"Communication-aware, energy-efficient VM placement in cloud data center using ant colony optimization","International Journal of Information Technology","","15","8","10.1007/s41870-023-01531-0","Rashmi KeshriDeo Prakash Vidyarthi","2023","http://link.springer.com/article/10.1007/s41870-023-01531-0","Article"
"Architecture for Groupware Oriented to Collaborative Medical Activities in the Rehabilitation of Strokes","Programming and Computer Software","","49","8","10.1134/S0361768823080078","Sofía Isabel Fernández GregorioLuis G. Montané-JiménezCarmen Mezura GodoyViviana Yarel Rosales-Morales","2023","http://link.springer.com/article/10.1134/S0361768823080078","Article"
"Ensuring accountability in digital forensics with proxy re-encryption based chain of custody","International Journal of Information Technology","","16","3","10.1007/s41870-023-01663-3","Rachana Y. PatilYogesh H. PatilAparna BannoreManjiri Ranjanikar","2024","http://link.springer.com/article/10.1007/s41870-023-01663-3","Article"
"ModChain: a hybridized secure and scaling blockchain framework for IoT environment","International Journal of Information Technology","","15","3","10.1007/s41870-023-01218-6","P. PabithaJ. Chandra PriyaR. PraveenS. Jagatheswari","2023","http://link.springer.com/article/10.1007/s41870-023-01218-6","Article"
"The effects of distance and reverberation time on speaker recognition performance","International Journal of Information Technology","","16","5","10.1007/s41870-024-01789-y","Khamis A. Al-KarawiBurhan Al-Bayati","2024","http://link.springer.com/article/10.1007/s41870-024-01789-y","Article"
"Feature-enhanced deep learning technique with soft attention for MRI-based brain tumor classification","International Journal of Information Technology","","16","3","10.1007/s41870-023-01701-0","Bipin Ch. MohantyP. K. SubudhiRatnakar DashBidyadhar Mohanty","2024","http://link.springer.com/article/10.1007/s41870-023-01701-0","Article"
"Efficiency of oversampling methods for enhancing software defect prediction by using imbalanced data","Innovations in Systems and Software Engineering","","19","3","10.1007/s11334-022-00457-3","Tirimula Rao BenalaKarunya Tantati","2023","http://link.springer.com/article/10.1007/s11334-022-00457-3","Article"
"Link reliable on-demand distance vector routing for mobile ad hoc networks","International Journal of Information Technology","","","","10.1007/s41870-024-01975-y","Periyasamy Pitchaipillai","2024","http://link.springer.com/article/10.1007/s41870-024-01975-y","Article"
"Sample classification by selecting informative genes: a greedy multi-objective simulated annealing approach","International Journal of Information Technology","","","","10.1007/s41870-024-01999-4","Suman MitraSriyankar Acharyya","2024","http://link.springer.com/article/10.1007/s41870-024-01999-4","Article"
"Handling class overlap and imbalance using overlap driven under-sampling with balanced random forest in software defect prediction","Innovations in Systems and Software Engineering","","","","10.1007/s11334-024-00571-4","Abdul Waheed DarSheikh Umar Farooq","2024","http://link.springer.com/article/10.1007/s11334-024-00571-4","Article"
"Hyperspectral image classification using efficientnet-B4 with search and rescue operation algorithm","International Journal of Information Technology","","15","3","10.1007/s41870-023-01197-8","S. SrinivasanK. Rajakumar","2023","http://link.springer.com/article/10.1007/s41870-023-01197-8","Article"
"A multi-objective crow search algorithm for optimizing makespan and costs in scientific cloud workflows (CSAMOMC)","Computing","","106","6","10.1007/s00607-024-01263-4","Reza AkraminejadNavid KhaledianAmin NazariMarcus Voelp","2024","http://link.springer.com/article/10.1007/s00607-024-01263-4","Article"
"An EDGE based end-2-end system architecture for retail stores","International Journal of Information Technology","","","","10.1007/s41870-024-01756-7","Vijay Anand SundaresanTharini ChandrapragasamThivish Naran RajaganeshPranhav VimalManjula Vadivelu","2024","http://link.springer.com/article/10.1007/s41870-024-01756-7","Article"
"An effective deep learning based Idrcnn and Bdc-Lstm models for complex word identification and synonym generation","International Journal of Information Technology","","","","10.1007/s41870-024-01973-0","Tamma RajyaLakshmiK. Surendra Reddy Vinta","2024","http://link.springer.com/article/10.1007/s41870-024-01973-0","Article"
"A compact antenna system for cognitive radio using U-slotted patch and quad-band reconfigurable monopole","International Journal of Information Technology","","16","1","10.1007/s41870-023-01614-y","Rajeev Kumar ParidaDhruba Charan Panda","2024","http://link.springer.com/article/10.1007/s41870-023-01614-y","Article"
"Automated recognition of Myanmar sign language using deep learning module","International Journal of Information Technology","","16","2","10.1007/s41870-023-01680-2","Nwe Ni KyawPabitra MitraG. R. Sinha","2024","http://link.springer.com/article/10.1007/s41870-023-01680-2","Article"
"Melanoma skin cancer detection using deep learning-based lesion segmentation","International Journal of Information Technology","","","","10.1007/s41870-024-02004-8","Naliniprava BeheraAkhilendra Pratap SinghJitendra Kumar RoutBunil Kumar Balabantaray","2024","http://link.springer.com/article/10.1007/s41870-024-02004-8","Article"
"Identifying and fixing ambiguities in, and semantically accurate formalisation of, behavioural requirements","Software and Systems Modeling","","","","10.1007/s10270-023-01142-0","Thuy NguyenImen SayarSophie EbersoldJean-Michel Bruel","2024","http://link.springer.com/article/10.1007/s10270-023-01142-0","Article"
"ConvNeXt network with transfer learning for cumulative foot pressure images recognition","International Journal of Information Technology","","","","10.1007/s41870-024-01759-4","Ayman IskandarMarco AlfonseMohamed RoushdyEl-Sayed M. El-Horbaty","2024","http://link.springer.com/article/10.1007/s41870-024-01759-4","Article"
"Efficient feature fusion model withmodified bidirectional LSTM for automatic Parkinson's disease classification","International Journal of Information Technology","","","","10.1007/s41870-024-01886-y","S ReshmaM. ChennakesavuluShweta Sidagounda PatilManjunath Ramanna Lamani","2024","http://link.springer.com/article/10.1007/s41870-024-01886-y","Article"
"Enhancing lung cancer prediction through crow search, artificial bee colony algorithms, and support vector machine","International Journal of Information Technology","","16","5","10.1007/s41870-024-01770-9","Samira TaredLatifa KhaouaneSalah HaniniAffaf KhaouaneMohamed Roubehie Fissa","2024","http://link.springer.com/article/10.1007/s41870-024-01770-9","Article"
"Gender recognition in masked facial images using EfficientNet and transfer learning approach","International Journal of Information Technology","","16","4","10.1007/s41870-023-01565-4","Faezeh MosayyebiHadi SeyedarabiReza Afrouzian","2024","http://link.springer.com/article/10.1007/s41870-023-01565-4","Article"
"An autonomous architecture based on reinforcement deep neural network for resource allocation in cloud computing","Computing","","106","2","10.1007/s00607-023-01220-7","Seyed Danial Alizadeh JavaheriReza GhaemiHossein Monshizadeh Naeen","2024","http://link.springer.com/article/10.1007/s00607-023-01220-7","Article"
"Shakey: an improved cipher for protection of Iot devices","International Journal of Information Technology","","15","6","10.1007/s41870-023-01402-8","Anushka SivakumarAsmi SriwastawaRaja Muthalagu","2023","http://link.springer.com/article/10.1007/s41870-023-01402-8","Article"
"Cognitive agent based fault tolerance in ubiquitous networks: a machine learning approach","International Journal of Information Technology","","16","4","10.1007/s41870-024-01747-8","Lokesh B. BhajantriVasudha V. Ayyannavar","2024","http://link.springer.com/article/10.1007/s41870-024-01747-8","Article"
"Genetic algorithm in the single server inventory retrial queueing system with time and stock level dependent customer arrival rate","International Journal of Information Technology","","15","8","10.1007/s41870-023-01440-2","Mridula JainIndeewar Kumar","2023","http://link.springer.com/article/10.1007/s41870-023-01440-2","Article"
"Extracting LPL privacy policy purposes from annotated web service source code","Software and Systems Modeling","","22","1","10.1007/s10270-022-00998-y","Kalle HjerppeJukka RuohonenVille Leppänen","2023","http://link.springer.com/article/10.1007/s10270-022-00998-y","Article"
"Guest editorial for the theme section on modeling language engineering","Software and Systems Modeling","","22","3","10.1007/s10270-023-01097-2","Benoît CombemaleRomina EramoJuan de Lara","2023","http://link.springer.com/article/10.1007/s10270-023-01097-2","Article"
